%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_num,field.zone_letter
1580410081290708141,1,1580410081289676904,,42.3371983333,-71.0904416667,38.1,327787.989634,4689332.40257,19,T
1580410082796764449,2,1580410082795989036,,42.3371983333,-71.0904416667,38.2,327787.989634,4689332.40257,19,T
1580410084302668381,3,1580410084301631927,,42.3371983333,-71.0904433333,38.3,327787.852327,4689332.40595,19,T
1580410087311952129,4,1580410087311116933,,42.3371983333,-71.0904433333,38.4,327787.852327,4689332.40595,19,T
1580410088816659938,5,1580410088815901041,,42.3371983333,-71.0904433333,38.5,327787.852327,4689332.40595,19,T
1580410090323756863,6,1580410090322714090,,42.3371983333,-71.090445,38.6,327787.71502,4689332.40932,19,T
1580410091828563816,7,1580410091827889919,,42.3371983333,-71.090445,38.8,327787.71502,4689332.40932,19,T
1580410093334285484,8,1580410093333404064,,42.3371966667,-71.090445,38.9,327787.710471,4689332.22425,19,T
1580410096343465046,9,1580410096342585086,,42.3371966667,-71.090445,39.1,327787.710471,4689332.22425,19,T
1580410097847659384,10,1580410097847136974,,42.3371966667,-71.0904466667,39.2,327787.573164,4689332.22763,19,T
1580410099353560245,11,1580410099353003025,,42.3371966667,-71.0904466667,39.4,327787.573164,4689332.22763,19,T
1580410100859538628,12,1580410100858937025,,42.3371966667,-71.0904466667,39.6,327787.573164,4689332.22763,19,T
1580410102366277150,13,1580410102365705966,,42.3371966667,-71.0904466667,39.7,327787.573164,4689332.22763,19,T
1580410105377494987,14,1580410105376877069,,42.337195,-71.0904483333,39.9,327787.431307,4689332.04593,19,T
1580410106883392126,15,1580410106882781028,,42.337195,-71.0904483333,40.1,327787.431307,4689332.04593,19,T
1580410108390546702,16,1580410108390001058,,42.337195,-71.0904483333,40.2,327787.431307,4689332.04593,19,T
1580410109899545364,17,1580410109899003028,,42.337195,-71.0904483333,40.3,327787.431307,4689332.04593,19,T
1580410111404168284,18,1580410111403654098,,42.337195,-71.0904483333,40.5,327787.431307,4689332.04593,19,T
1580410114418466564,19,1580410114417920112,,42.337195,-71.0904483333,40.6,327787.431307,4689332.04593,19,T
1580410115923875452,20,1580410115923341035,,42.337195,-71.09045,40.7,327787.294,4689332.04931,19,T
1580410117429949330,21,1580410117429420948,,42.3371933333,-71.09045,40.8,327787.289451,4689331.86424,19,T
1580410118935845549,22,1580410118935295104,,42.3371933333,-71.09045,40.9,327787.289451,4689331.86424,19,T
1580410120442467265,23,1580410120441929101,,42.3371933333,-71.09045,41.1,327787.289451,4689331.86424,19,T
1580410123451547866,24,1580410123450917959,,42.3371933333,-71.09045,41.2,327787.289451,4689331.86424,19,T
1580410124960088861,25,1580410124959287881,,42.3371933333,-71.09045,41.3,327787.289451,4689331.86424,19,T
1580410126465176159,26,1580410126464534044,,42.3371933333,-71.09045,41.4,327787.289451,4689331.86424,19,T
1580410127972078149,27,1580410127971554040,,42.3371933333,-71.09045,41.5,327787.289451,4689331.86424,19,T
1580410129478279563,28,1580410129477616071,,42.3371933333,-71.09045,41.5,327787.289451,4689331.86424,19,T
1580410132489023416,29,1580410132488269090,,42.3371933333,-71.09045,41.6,327787.289451,4689331.86424,19,T
