%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1580877009674849140,1,1580877009674386024,,0.0150923279154,0.000278871407285,0.887862512182,0.459861178326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000731,0.000742,-0.001334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.255,-0.13,-9.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009700371752,2,1580877009699922084,,0.0151040833203,0.000282868559825,0.887870461688,0.459845441333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000434,0.000183,0.003689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.256,-0.131,-9.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009726011788,3,1580877009725553035,,0.0151040857882,0.000282736751822,0.887866448745,0.459853189447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06,-0.000206,-0.004067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.234,-0.151,-9.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009751656485,4,1580877009751140117,,0.0151003591402,0.000294103980444,0.887854480957,0.459876410899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001313,-0.000499,-0.002511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.247,-0.152,-9.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009777174684,5,1580877009776714086,,0.0151043644107,0.000302247403857,0.887866517585,0.459853034973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001318,-0.00029,0.003606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.243,-0.151,-9.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009802871942,6,1580877009802329063,,0.015108382793,0.000309731809894,0.887858488831,0.459868399269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000423,0.000804,-0.003601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.262,-0.138,-9.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009828074740,7,1580877009827697992,,0.0151083800895,0.000309863655394,0.887862501906,0.459860651224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000542,0.000707,-9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.243,-0.12,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009854854455,8,1580877009854443073,,0.0150966170821,0.000306261863065,0.887866591427,0.459853144149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000247,0.000416,0.002102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.263,-0.12,-9.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009880319666,9,1580877009879955053,,0.0151043617725,0.000302379214291,0.887870530526,0.459845286858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000825,0.000157,-0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.265,-0.149,-9.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009905933139,10,1580877009905488014,,0.015104078381,0.000283132175766,0.887878487369,0.459829945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000538,0.000625,0.001645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.248,-0.133,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
