%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580877009674889993,1,1580877009674393892,,-0.2376,-0.1565,0.3714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009700356334,2,1580877009699929952,,-0.2406,-0.1513,0.3678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009726008018,3,1580877009725562095,,-0.2397,-0.1636,0.3749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009751800503,4,1580877009751148939,,-0.2417,-0.1615,0.3701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009777288612,5,1580877009776722908,,-0.2397,-0.1626,0.3737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009802855473,6,1580877009802336931,,-0.2437,-0.1594,0.3723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009828126826,7,1580877009827707052,,-0.2387,-0.1647,0.3737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009854943413,8,1580877009854451894,,-0.2436,-0.1542,0.3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009880465358,9,1580877009879962921,,-0.2397,-0.1585,0.3749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009906037238,10,1580877009905497074,,-0.2416,-0.1523,0.3689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009931665202,11,1580877009931087017,,-0.2378,-0.1668,0.3703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009957041821,12,1580877009956523895,,-0.2396,-0.1503,0.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877009982623158,13,1580877009982183933,,-0.2397,-0.1616,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877010008247628,14,1580877010007814884,,-0.2427,-0.1625,0.3736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877010033721096,15,1580877010033294916,,-0.2387,-0.1575,0.3749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580877010059454381,16,1580877010058701038,,-0.2447,-0.1594,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
