%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580869199406745980,2,1580869199406497955,,42.33703,-71.0898333333,16.0,327837.647267,4689312.47857,19,T
1580869200379437770,3,1580869200378895044,,42.33703,-71.0898333333,16.0,327837.647267,4689312.47857,19,T
1580869201382452617,4,1580869201381918907,,42.33703,-71.0898333333,16.1,327837.647267,4689312.47857,19,T
1580869202402939430,5,1580869202402656078,,42.33703,-71.0898333333,16.1,327837.647267,4689312.47857,19,T
1580869203382341287,6,1580869203381678104,,42.33703,-71.0898333333,16.1,327837.647267,4689312.47857,19,T
1580869204382271584,7,1580869204381738901,,42.33703,-71.0898333333,16.2,327837.647267,4689312.47857,19,T
1580869205381543751,8,1580869205380841970,,42.33703,-71.0898333333,16.2,327837.647267,4689312.47857,19,T
1580869206383059115,9,1580869206382389068,,42.33703,-71.0898333333,16.3,327837.647267,4689312.47857,19,T
1580869207381859071,10,1580869207381304979,,42.33703,-71.0898333333,16.3,327837.647267,4689312.47857,19,T
1580869208382027775,11,1580869208381388902,,42.33703,-71.0898333333,16.3,327837.647267,4689312.47857,19,T
1580869209401244388,12,1580869209399013042,,42.33703,-71.0898333333,16.3,327837.647267,4689312.47857,19,T
1580869210382080534,13,1580869210381428003,,42.33703,-71.0898333333,16.3,327837.647267,4689312.47857,19,T
1580869211381906403,14,1580869211381350994,,42.33703,-71.0898316667,16.3,327837.784574,4689312.4752,19,T
1580869212383629226,15,1580869212383405923,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869213381144869,16,1580869213380562067,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869214382117059,17,1580869214381532907,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869215402725115,18,1580869215402190923,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869216381204339,19,1580869216380578041,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869217380958892,20,1580869217380418062,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869218384005342,21,1580869218383330106,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869219391926256,22,1580869219391105890,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869220381482094,23,1580869220380753993,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869221381152579,24,1580869221380498886,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869222381963238,25,1580869222381403923,,42.33703,-71.0898316667,16.4,327837.784574,4689312.4752,19,T
1580869223382200303,26,1580869223381654024,,42.33703,-71.0898333333,16.4,327837.647267,4689312.47857,19,T
1580869224396271531,27,1580869224395587921,,42.33703,-71.0898333333,16.4,327837.647267,4689312.47857,19,T
1580869225401773882,28,1580869225400844097,,42.33703,-71.0898333333,16.4,327837.647267,4689312.47857,19,T
1580869226403066051,29,1580869226402319908,,42.3370316667,-71.0898316667,16.3,327837.789122,4689312.66027,19,T
1580869227383650288,30,1580869227383037090,,42.3370283333,-71.089825,16.3,327838.329255,4689312.27663,19,T
1580869228385297917,31,1580869228384479999,,42.337025,-71.089815,16.0,327839.144002,4689311.88624,19,T
1580869229404062562,32,1580869229402297973,,42.33702,-71.0898016667,15.8,327840.228815,4689311.30403,19,T
1580869230379374479,33,1580869230378809928,,42.337015,-71.089785,15.6,327841.588243,4689310.71508,19,T
1580869231377977152,34,1580869231377480983,,42.33701,-71.0897616667,15.5,327843.4969,4689310.11262,19,T
1580869232381896555,35,1580869232381203889,,42.337005,-71.08973,15.6,327846.092095,4689309.4933,19,T
1580869233377913831,36,1580869233377252101,,42.337,-71.0896966667,15.4,327848.824597,4689308.8706,19,T
1580869234390543945,37,1580869234389915943,,42.3369983333,-71.0896633333,15.2,327851.566195,4689308.61805,19,T
1580869235388538046,38,1580869235388113975,,42.3370033333,-71.08963,15.2,327854.325985,4689309.10577,19,T
1580869236387966690,39,1580869236387331008,,42.3370133333,-71.0895966667,15.1,327857.099418,4689310.14871,19,T
1580869237381116758,40,1580869237380532979,,42.33703,-71.0895683333,15.0,327859.47912,4689311.94206,19,T
1580869238387757186,41,1580869238387197017,,42.33705,-71.0895416667,14.8,327861.730608,4689314.10892,19,T
1580869239395668913,42,1580869239395006895,,42.337075,-71.0895233333,14.7,327863.309202,4689316.84787,19,T
1580869240387582791,43,1580869240386873960,,42.3371033333,-71.0895133333,14.6,327864.210355,4689319.97383,19,T
1580869241381916128,44,1580869241381316900,,42.3371316667,-71.08951,14.5,327864.562279,4689323.11328,19,T
