%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869196627167031,9,1580869196625957965,,-0.1799,0.0342,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196652379711,10,1580869196651225090,,-0.1845,0.0404,0.3377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196677545784,11,1580869196676501989,,-0.1834,0.0331,0.3351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196702370056,12,1580869196701302051,,-0.1867,0.0465,0.3403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196727129466,13,1580869196726074934,,-0.1822,0.0367,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196751988821,14,1580869196750925064,,-0.1846,0.0319,0.3364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196777833889,15,1580869196776113986,,-0.1856,0.044,0.3363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196802078754,16,1580869196801023960,,-0.1834,0.0355,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196827013930,17,1580869196825999975,,-0.181,0.0342,0.3352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196852207626,18,1580869196851041078,,-0.1834,0.0319,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196876931894,19,1580869196875843048,,-0.181,0.0379,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196904594185,20,1580869196901922941,,-0.1846,0.032,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196926931780,21,1580869196925909996,,-0.1821,0.0415,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196951726583,22,1580869196950740098,,-0.1822,0.0367,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869196977397834,23,1580869196975959062,,-0.181,0.0379,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197002397373,24,1580869197001409053,,-0.1821,0.0427,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197026853413,25,1580869197025805950,,-0.1834,0.0355,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197051953452,26,1580869197050915956,,-0.1821,0.0427,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197076850038,27,1580869197075627088,,-0.1834,0.0319,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197102181544,28,1580869197101203918,,-0.1845,0.0332,0.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197126962399,29,1580869197125900030,,-0.181,0.0355,0.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197151729411,30,1580869197150672912,,-0.1833,0.0403,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197176760804,31,1580869197175659894,,-0.1834,0.0331,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197201755856,32,1580869197200680017,,-0.1857,0.0356,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197227016738,33,1580869197225785970,,-0.181,0.0379,0.3338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197251680911,34,1580869197250607013,,-0.1834,0.0343,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197277217269,35,1580869197275590896,,-0.1799,0.033,0.3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869197302790741,36,1580869197301671981,,-0.1821,0.0415,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
