%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter,field.FixQuality
1582664899692878428,1,1582664899692364931,,42.3392525117,-71.0845562617,-5.083,328278.445352,4689548.60058,19,T,5
1582664899903405411,2,1582664899902466058,,42.33925225,-71.0845566583,-5.051,328278.411962,4689548.57233,19,T,5
1582664900100966214,3,1582664900100395917,,42.3392518267,-71.0845572167,-5.021,328278.364813,4689548.52645,19,T,5
1582664900293537664,4,1582664900293081045,,42.3392513283,-71.0845577983,-5.048,328278.315538,4689548.47229,19,T,5
1582664900487378933,5,1582664900486910104,,42.3392509567,-71.0845583867,-5.028,328278.266059,4689548.4322,19,T,5
1582664900691592697,6,1582664900690951108,,42.33925065,-71.08455888,-5.022,328278.224582,4689548.39915,19,T,5
1582664900884525513,7,1582664900884103059,,42.3392497733,-71.0845598083,-5.028,328278.145718,4689548.30367,19,T,5
1582664901087479656,8,1582664901086846113,,42.3392491017,-71.0845601433,-5.137,328278.116292,4689548.22977,19,T,5
1582664901292093799,9,1582664901291634082,,42.339248365,-71.0845613083,-5.13,328278.018313,4689548.15032,19,T,5
1582664901488165677,10,1582664901487734079,,42.3392473667,-71.0845625467,-5.126,328277.913579,4689548.04196,19,T,5
1582664901692967120,11,1582664901692446947,,42.3392463533,-71.0845638017,-5.14,328277.807432,4689547.93197,19,T,5
1582664901910696408,12,1582664901910180091,,42.3392454483,-71.0845652883,-5.17,328277.682495,4689547.83448,19,T,5
1582664902096960457,13,1582664902096424102,,42.339243905,-71.08456676,-5.141,328277.557055,4689547.66608,19,T,5
1582664902291358229,14,1582664902290915966,,42.339242495,-71.0845680867,-5.11,328277.443924,4689547.51219,19,T,5
1582664902495079792,15,1582664902494643926,,42.3392411083,-71.084569855,-5.068,328277.294472,4689547.36178,19,T,5
1582664902689737084,16,1582664902689215898,,42.3392399933,-71.0845712383,-5.102,328277.177475,4689547.24076,19,T,5
1582664902894079930,17,1582664902893721103,,42.3392386883,-71.0845730017,-5.087,328277.028657,4689547.09941,19,T,5
1582664903088402829,18,1582664903087980031,,42.339237275,-71.0845745833,-5.077,328276.894509,4689546.94567,19,T,5
1582664903291931943,19,1582664903291376113,,42.3392361733,-71.08457488,-4.984,328276.867071,4689546.82394,19,T,4
1582664903485045230,20,1582664903484509944,,42.3392346167,-71.0845773817,-5.083,328276.656742,4689546.65613,19,T,5
1582664903688059192,21,1582664903687292098,,42.3392333917,-71.0845790667,-5.084,328276.514595,4689546.52351,19,T,5
1582664903905456963,22,1582664903904860973,,42.3392321883,-71.0845808867,-5.082,328276.361385,4689546.39356,19,T,5
1582664904085894462,23,1582664904085421085,,42.3392309733,-71.0845825983,-5.06,328276.217068,4689546.2621,19,T,5
1582664904292048930,24,1582664904291491985,,42.3392293783,-71.0845846333,-5.007,328276.045079,4689546.0891,19,T,5
1582664904482514894,25,1582664904481889009,,42.33922835,-71.08458583,-5.034,328275.943697,4689545.97733,19,T,5
1582664904685070073,26,1582664904684281110,,42.3392275633,-71.084586965,-5.12,328275.848052,4689545.89227,19,T,5
1582664904893766752,27,1582664904893342018,,42.3392263933,-71.0845889383,-5.122,328275.682301,4689545.76633,19,T,5
1582664905082808390,28,1582664905082357883,,42.339225445,-71.0845906217,-5.113,328275.541044,4689545.66443,19,T,5
1582664905284705083,29,1582664905284347057,,42.3392240867,-71.0845924867,-5.04,328275.383705,4689545.51736,19,T,5
1582664905487683641,30,1582664905486865997,,42.3392226883,-71.0845939283,-5.016,328275.261132,4689545.365,19,T,5
1582664905688570295,31,1582664905688004970,,42.339221325,-71.0845953767,-4.98,328275.138105,4689545.21654,19,T,5
1582664905905298744,32,1582664905904731035,,42.33922024,-71.084596695,-4.969,328275.026545,4689545.09872,19,T,5
1582664906085500137,33,1582664906085057020,,42.3392189067,-71.08459818,-4.983,328274.900579,4689544.95366,19,T,5
1582664906285421377,34,1582664906285005092,,42.3392175833,-71.0845997883,-4.96,328274.764479,4689544.80996,19,T,5
1582664906487933864,35,1582664906487407922,,42.339216505,-71.0846007717,-4.983,328274.680535,4689544.69221,19,T,5
1582664906689864245,36,1582664906689361095,,42.339215205,-71.0846020733,-4.993,328274.569763,4689544.55048,19,T,5
1582664906891019853,37,1582664906890218019,,42.3392139233,-71.0846027767,-5.028,328274.508332,4689544.40958,19,T,5
1582664907086007357,38,1582664907085582017,,42.3392124533,-71.0846047317,-4.959,328274.343275,4689544.2503,19,T,5
1582664907290955770,39,1582664907290365934,,42.33921131,-71.08460614,-4.969,328274.224142,4689544.12619,19,T,5
1582664907492174784,40,1582664907491776943,,42.339210165,-71.084607635,-4.963,328274.097865,4689544.00206,19,T,5
1582664907687664180,41,1582664907686624050,,42.3392087683,-71.0846094317,-4.935,328273.94605,4689543.8506,19,T,5
1582664907887983555,42,1582664907887284994,,42.3392074183,-71.0846108733,-4.94,328273.823609,4689543.70361,19,T,5
1582664908089259485,43,1582664908088769912,,42.3392060017,-71.084612425,-4.926,328273.691923,4689543.54943,19,T,5
1582664908686890236,44,1582664908686373949,,42.3392020233,-71.0846179933,-4.876,328273.222366,4689543.11891,19,T,5
1582664908890086226,45,1582664908889657020,,42.3392007567,-71.0846195717,-4.893,328273.088892,4689542.98145,19,T,5
1582664909094332718,46,1582664909092959880,,42.3391993417,-71.0846210833,-4.91,328272.960507,4689542.82737,19,T,5
1582664909285990744,47,1582664909285437107,,42.3391979633,-71.0846224783,-4.908,328272.841832,4689542.67714,19,T,5
1582664909487081321,48,1582664909486561059,,42.3391965983,-71.0846230917,-4.938,328272.787589,4689542.5268,19,T,4
1582664909689164949,49,1582664909688293933,,42.339195405,-71.084625735,-4.938,328272.566579,4689542.39963,19,T,5
1582664909891540407,50,1582664909891110897,,42.3391938467,-71.084627505,-4.91,328272.416521,4689542.23017,19,T,5
1582664910094343765,51,1582664910093892097,,42.339192515,-71.0846290133,-4.937,328272.288637,4689542.08534,19,T,5
1582664910288598120,52,1582664910288124084,,42.3391910217,-71.0846306383,-4.898,328272.150702,4689541.9228,19,T,5
1582664910492654507,53,1582664910491312980,,42.3391897083,-71.0846324067,-4.88,328272.001449,4689541.78053,19,T,5
1582664910684708231,54,1582664910684084892,,42.339188585,-71.0846338867,-4.906,328271.876466,4689541.65879,19,T,5
1582664910891172682,55,1582664910890794038,,42.3391872067,-71.0846357717,-4.891,328271.717425,4689541.50954,19,T,5
1582664911084706217,56,1582664911084352970,,42.3391857633,-71.084637685,-4.83,328271.555872,4689541.35313,19,T,5
1582664911290707023,57,1582664911290271043,,42.33918443,-71.0846391433,-4.843,328271.432103,4689541.20802,19,T,5
1582664911493765764,58,1582664911493340969,,42.3391831267,-71.0846408717,-4.799,328271.286172,4689541.06679,19,T,5
1582664911689665766,59,1582664911689251899,,42.33918205,-71.084642135,-4.848,328271.179165,4689540.94978,19,T,5
1582664911889592606,60,1582664911887939929,,42.3391809533,-71.0846436533,-4.846,328271.051097,4689540.83107,19,T,5
1582664912089672432,61,1582664912089200973,,42.3391797883,-71.0846453783,-4.829,328270.905818,4689540.70519,19,T,5
1582664912293946878,62,1582664912293545961,,42.3391783333,-71.084646845,-4.832,328270.78103,4689540.54659,19,T,5
1582664912484853322,63,1582664912484222888,,42.339176815,-71.0846482633,-4.833,328270.660053,4689540.38085,19,T,5
1582664912689158048,64,1582664912688417911,,42.3391753283,-71.0846499567,-4.828,328270.516506,4689540.21919,19,T,5
1582664912893105326,65,1582664912892611980,,42.339174095,-71.0846514583,-4.849,328270.389439,4689540.08527,19,T,5
1582664913092449490,66,1582664913091989994,,42.3391727383,-71.0846533133,-4.794,328270.232928,4689539.93837,19,T,5
1582664913286260818,67,1582664913285799026,,42.3391713733,-71.0846550117,-4.812,328270.089301,4689539.79023,19,T,5
1582664913490781773,68,1582664913490083932,,42.33916983,-71.08465694,-4.774,328269.92624,4689539.62275,19,T,5
1582664913693315446,69,1582664913692780017,,42.339168455,-71.0846582883,-4.775,328269.811419,4689539.47279,19,T,5
1582664913887445076,70,1582664913886706113,,42.3391671833,-71.0846598783,-4.775,328269.676971,4689539.33479,19,T,5
1582664914091082342,71,1582664914090498924,,42.3391656917,-71.0846602833,-4.937,328269.639545,4689539.16997,19,T,4
1582664914286682198,72,1582664914286247014,,42.3391642883,-71.0846630817,-4.804,328269.405194,4689539.01979,19,T,5
1582664914486481930,73,1582664914485975027,,42.33916292,-71.0846648783,-4.775,328269.253457,4689538.87148,19,T,5
1582664914691498902,74,1582664914690846920,,42.3391614917,-71.0846666917,-4.76,328269.100183,4689538.71653,19,T,5
1582664914885187458,75,1582664914884634017,,42.3391601767,-71.0846686117,-4.713,328268.938431,4689538.57439,19,T,5
1582664915088329809,76,1582664915087908983,,42.3391588667,-71.0846700733,-4.77,328268.81445,4689538.43188,19,T,5
1582664915289714163,77,1582664915289268016,,42.339157525,-71.0846719417,-4.78,328268.656881,4689538.28667,19,T,5
1582664915484610476,78,1582664915484072923,,42.3391561783,-71.084673535,-4.767,328268.521954,4689538.14035,19,T,5
1582664915691497030,79,1582664915690992116,,42.3391546867,-71.0846754233,-4.734,328268.362329,4689537.97853,19,T,5
1582664915897809213,80,1582664915897115945,,42.3391532817,-71.0846770233,-4.704,328268.226694,4689537.82574,19,T,5
1582664916090734273,81,1582664916090250015,,42.3391519667,-71.0846786717,-4.728,328268.087322,4689537.68305,19,T,5
1582664916299375456,82,1582664916298913955,,42.3391506417,-71.084680795,-4.664,328267.908791,4689537.54021,19,T,5
1582664916490667189,83,1582664916490084886,,42.3391492967,-71.08468228,-4.682,328267.782793,4689537.39386,19,T,5
1582664916696332660,84,1582664916695681095,,42.339147955,-71.0846840633,-4.654,328267.632226,4689537.24848,19,T,5
1582664916890140554,85,1582664916889672994,,42.3391465033,-71.0846854683,-4.665,328267.512528,4689537.09012,19,T,5
1582664917094507153,86,1582664917093899965,,42.3391451517,-71.0846869667,-4.694,328267.385414,4689536.94305,19,T,5
1582664917293136367,87,1582664917292309045,,42.3391439217,-71.0846888267,-4.676,328267.228835,4689536.81023,19,T,5
1582664917498272233,88,1582664917497602939,,42.3391426233,-71.0846907017,-4.634,328267.070835,4689536.66984,19,T,5
1582664917692730288,89,1582664917692260980,,42.3391414133,-71.0846919833,-4.689,328266.961956,4689536.53807,19,T,5
1582664917887870596,90,1582664917887392044,,42.3391400333,-71.0846931967,-4.683,328266.858242,4689536.38728,19,T,5
1582664918093145394,91,1582664918092516899,,42.3391388667,-71.0846941317,-4.702,328266.778039,4689536.25962,19,T,5
1582664918289813596,92,1582664918289160013,,42.339137615,-71.0846960467,-4.603,328266.616871,4689536.1245,19,T,5
1582664918492334645,93,1582664918491879940,,42.339137035,-71.08469669,-4.676,328266.562293,4689536.0614,19,T,5
1582664918685652994,94,1582664918685120105,,42.33913642,-71.0846979833,-4.606,328266.454072,4689535.99572,19,T,5
1582664918891244845,95,1582664918890789031,,42.3391360217,-71.0846978083,-4.617,328266.467405,4689535.95113,19,T,5
1582664919681963926,96,1582664919681485891,,42.3391323267,-71.0846925133,-4.913,328266.893556,4689535.53013,19,T,1
1582664919881779957,97,1582664919880887031,,42.3391300633,-71.084690965,-3.275,328267.014948,4689535.27568,19,T,5
1582664920085082694,98,1582664920084605932,,42.3391311583,-71.08469063,-4.31,328267.045527,4689535.3966,19,T,5
1582664920281416127,99,1582664920280693054,,42.3391296883,-71.08469003,-4.007,328267.090954,4689535.23215,19,T,5
1582664920485607304,100,1582664920485162019,,42.339131045,-71.0846895167,-3.793,328267.136937,4689535.38176,19,T,5
1582664920681084698,101,1582664920680704116,,42.33912985,-71.0846881217,-3.671,328267.248606,4689535.24625,19,T,5
1582664920875567466,102,1582664920875135898,,42.3391282267,-71.084686675,-3.503,328267.363365,4689535.06307,19,T,5
1582664921080931606,103,1582664921080492019,,42.3391264467,-71.08468466,-3.392,328267.524518,4689534.86134,19,T,1
1582664921280909968,104,1582664921280440092,,42.3391244983,-71.0846825617,-3.371,328267.692078,4689534.64076,19,T,1
1582664921477017439,105,1582664921476486921,,42.33912405,-71.08468102,-3.116,328267.817863,4689534.58786,19,T,5
1582664921685428098,106,1582664921684675931,,42.3391228033,-71.0846790417,-2.912,328267.977447,4689534.44543,19,T,5
1582664921886237485,107,1582664921885803937,,42.3391208233,-71.0846778183,-2.936,328268.072837,4689534.2231,19,T,5
1582664922086416880,108,1582664922085508108,,42.3391194333,-71.0846761,-2.951,328268.210612,4689534.06528,19,T,5
1582664922278347983,109,1582664922277676105,,42.3391184183,-71.0846737517,-2.745,328268.401308,4689533.94783,19,T,5
1582664922485078688,110,1582664922484482049,,42.3391170083,-71.08467179,-2.599,328268.559075,4689533.7873,19,T,5
1582664922683715159,111,1582664922683300018,,42.3391154017,-71.0846706483,-2.649,328268.648753,4689533.60658,19,T,5
1582664922892241853,112,1582664922891819000,,42.33911419,-71.0846688633,-2.527,328268.792506,4689533.46843,19,T,5
1582664923080770624,113,1582664923080220937,,42.3391122817,-71.0846665317,-2.285,328268.979397,4689533.25181,19,T,5
1582664923282630363,114,1582664923282078027,,42.3391105917,-71.0846646983,-2.205,328269.125829,4689533.06045,19,T,5
1582664923486375749,115,1582664923485755920,,42.3391093317,-71.0846627967,-2.049,328269.279061,4689532.9167,19,T,5
1582664923686872059,116,1582664923686369895,,42.33910788,-71.084660535,-1.934,328269.461429,4689532.75093,19,T,5
1582664923881755729,117,1582664923881319046,,42.3391067133,-71.0846584133,-1.687,328269.633039,4689532.6171,19,T,5
1582664924093647616,118,1582664924092091083,,42.3391050967,-71.0846572717,-1.755,328269.722691,4689532.43527,19,T,5
1582664924277777894,119,1582664924277297019,,42.339103665,-71.08465505,-1.675,328269.901818,4689532.27181,19,T,5
1582664924485839025,120,1582664924485423088,,42.3391023183,-71.0846533333,-1.585,328270.039573,4689532.11881,19,T,5
1582664924681758923,121,1582664924681273937,,42.339100965,-71.0846517083,-1.511,328270.169759,4689531.96525,19,T,5
1582664924888833129,122,1582664924888410091,,42.339099475,-71.084649885,-1.473,328270.315912,4689531.79611,19,T,5
1582664925075972241,123,1582664925075529098,,42.3390982017,-71.0846478783,-1.343,328270.477758,4689531.65066,19,T,5
1582664925283343584,124,1582664925282855033,,42.33909695,-71.08464601,-1.34,328270.628267,4689531.5079,19,T,5
1582664925480276543,125,1582664925479729890,,42.339095785,-71.08464407,-1.385,328270.784916,4689531.37462,19,T,5
1582664925685720922,126,1582664925685240983,,42.3390945067,-71.084641865,-1.323,328270.963087,4689531.22822,19,T,5
1582664925884579784,127,1582664925884049892,,42.339093025,-71.0846403,-1.409,328271.087981,4689531.06053,19,T,5
