%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter,field.FixQuality
1582663075676845033,1,1582663075676243066,,42.3374152883,-71.08724738,-0.607,328051.739491,4689350.02938,19,T,5
1582663075881859723,2,1582663075880031108,,42.3374152283,-71.0872493983,-0.415,328051.57305,4689350.0268,19,T,5
1582663076077538484,3,1582663076077022075,,42.33741601,-71.08725018,-0.468,328051.510784,4689350.11518,19,T,5
1582663076274819776,4,1582663076274306058,,42.3374157533,-71.0872514383,-0.385,328051.406418,4689350.08922,19,T,5
1582663076479617667,5,1582663076478981971,,42.337415715,-71.0872531717,-0.236,328051.263515,4689350.08847,19,T,5
1582663076689531462,6,1582663076688937902,,42.33741626,-71.0872547467,-0.146,328051.135245,4689350.15218,19,T,5
1582663076875187307,7,1582663076874540090,,42.3374170417,-71.08725748,-0.018,328050.912194,4689350.2445,19,T,5
1582663077082054519,8,1582663077081283092,,42.3374175267,-71.0872586033,0.047,328050.820971,4689350.30063,19,T,5
1582663077278332595,9,1582663077277582883,,42.3374181867,-71.0872598967,0.008,328050.71622,4689350.37653,19,T,1
1582663077480518075,10,1582663077479842901,,42.3374186233,-71.0872624167,0.178,328050.509803,4689350.43012,19,T,1
1582663077681065638,11,1582663077679704904,,42.3374196367,-71.087264575,0.228,328050.334753,4689350.547,19,T,1
1582663077878357783,12,1582663077877865076,,42.33741844,-71.0872659583,0.609,328050.217527,4689350.41692,19,T,5
1582663078090721581,13,1582663078089970111,,42.33741973,-71.0872679667,0.661,328050.055589,4689350.56423,19,T,5
1582663078280770440,14,1582663078280339002,,42.33742038,-71.0872667517,0.557,328050.157457,4689350.63395,19,T,5
1582663078698295979,15,1582663078697808027,,42.337423185,-71.0872677733,0.425,328050.080934,4689350.94749,19,T,5
1582663078883901679,16,1582663078883248090,,42.3374238133,-71.0872687733,0.483,328050.000263,4689351.01928,19,T,5
1582663079093422122,17,1582663079092603921,,42.33742491,-71.0872676983,0.319,328050.091814,4689351.13888,19,T,5
1582663079293840529,18,1582663079293175935,,42.3374253033,-71.0872685317,0.358,328050.024233,4689351.18425,19,T,5
1582663079482770010,19,1582663079482306003,,42.3374259867,-71.0872693967,0.429,328049.954834,4689351.26187,19,T,5
1582663079691390908,20,1582663079690114974,,42.337423415,-71.0872734033,1.374,328049.61774,4689350.98441,19,T,5
1582663079890482853,21,1582663079889991998,,42.3374240383,-71.087273525,1.287,328049.609416,4689351.05387,19,T,5
1582663080085652295,22,1582663080085040092,,42.3374240767,-71.0872751483,1.281,328049.475784,4689351.06141,19,T,1
1582663080273941168,23,1582663080273473024,,42.337424555,-71.0872763,1.408,328049.382209,4689351.11686,19,T,1
1582663080483066870,24,1582663080482290029,,42.33742578,-71.0872772933,1.268,328049.303713,4689351.25489,19,T,5
1582663080682220619,25,1582663080681629896,,42.3374264333,-71.0872775717,1.077,328049.282564,4689351.328,19,T,5
1582663081072612651,26,1582663081072037935,,42.3374291733,-71.0872768867,0.493,328049.346465,4689351.63088,19,T,5
1582663081276563643,27,1582663081276173114,,42.3374301617,-71.0872775383,0.459,328049.295472,4689351.74194,19,T,5
1582663081472752690,28,1582663081472054958,,42.3374318633,-71.0872781683,0.166,328049.248208,4689351.93217,19,T,1
1582663081680528083,29,1582663081679743051,,42.3374290983,-71.087283035,0.984,328048.839737,4689351.63498,19,T,5
1582663081879543598,30,1582663081879144906,,42.3374289033,-71.0872847533,0.986,328048.697643,4689351.6168,19,T,5
1582663082076912128,31,1582663082076432943,,42.3374293733,-71.087286205,0.958,328048.57933,4689351.67193,19,T,5
1582663082273023953,32,1582663082271692991,,42.3374304417,-71.0872866367,0.849,328048.54668,4689351.79143,19,T,5
1582663082474554682,33,1582663082474126100,,42.3374316217,-71.08728687,0.622,328048.530673,4689351.92293,19,T,5
1582663082876826995,34,1582663082876301050,,42.3374347617,-71.087288845,0.091,328048.376524,4689352.2756,19,T,1
1582663083073993907,35,1582663083073436975,,42.337425855,-71.08729959,2.226,328047.467033,4689351.30831,19,T,5
1582663083278288504,36,1582663083277786970,,42.3374304483,-71.0872978483,1.624,328047.623038,4689351.81484,19,T,5
1582663083471907357,37,1582663083471309900,,42.3374310217,-71.08729895,1.527,328047.533841,4689351.88074,19,T,5
1582663083676919140,38,1582663083676373004,,42.3374326033,-71.0872990417,1.288,328047.530601,4689352.05655,19,T,5
1582663083873487216,39,1582663083871964931,,42.33743403,-71.0872992083,0.983,328047.520759,4689352.21531,19,T,5
1582663084148695766,40,1582663084148195028,,42.3374330567,-71.087302625,1.294,328047.236628,4689352.11414,19,T,5
1582663084274321664,41,1582663084273834943,,42.3374275017,-71.0873137383,3.265,328046.305927,4689351.51977,19,T,5
1582663084469755722,42,1582663084468838930,,42.33743788,-71.0873027867,0.217,328047.236456,4689352.65006,19,T,5
1582663084810934645,43,1582663084810333967,,42.33743837,-71.0873043667,0.202,328047.107625,4689352.70767,19,T,5
1582663084873190355,44,1582663084872684955,,42.3374372317,-71.0873076833,0.687,328046.831283,4689352.58797,19,T,5
1582663085075406465,45,1582663085074817895,,42.3374366933,-71.08731037,1.099,328046.608478,4689352.53362,19,T,1
