%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter,field.FixQuality
1582664096097786370,1,1582664096097271919,,42.3392505917,-71.0845797467,-3.265,328276.505398,4689548.43481,19,T,5
1582664096294502312,2,1582664096294014930,,42.33925055,-71.0845797817,-3.259,328276.502401,4689548.43026,19,T,5
1582664096491287462,3,1582664096490869045,,42.33925051,-71.08457981,-3.25,328276.499958,4689548.42587,19,T,5
1582664096697418681,4,1582664096696855068,,42.3392504667,-71.0845798883,-3.241,328276.493387,4689548.42122,19,T,5
1582664096896123038,5,1582664096895576000,,42.339250455,-71.08457992,-3.238,328276.490746,4689548.41999,19,T,5
1582664097093439655,6,1582664097092947959,,42.339250405,-71.0845798917,-3.227,328276.492944,4689548.41438,19,T,5
1582664097292140390,7,1582664097291699886,,42.3392503883,-71.0845799267,-3.222,328276.490016,4689548.4126,19,T,5
1582664097498653416,8,1582664097498039960,,42.3392503233,-71.0845799817,-3.195,328276.485308,4689548.40549,19,T,5
1582664097695372472,9,1582664097694981098,,42.3392503067,-71.0845800167,-3.175,328276.482379,4689548.40371,19,T,5
1582664097892832028,10,1582664097892375946,,42.3392502967,-71.08458006,-3.165,328276.478782,4689548.40269,19,T,5
1582664098097035300,11,1582664098096543073,,42.339250245,-71.0845800983,-3.154,328276.475483,4689548.39703,19,T,5
1582664098291833857,12,1582664098291265964,,42.3392501883,-71.0845801317,-3.139,328276.472583,4689548.3908,19,T,5
1582664098495860365,13,1582664098494997024,,42.3392501983,-71.0845801817,-3.129,328276.468491,4689548.39201,19,T,5
1582664098691725654,14,1582664098691112041,,42.33925016,-71.0845801817,-3.116,328276.468387,4689548.38776,19,T,5
1582664098886218469,15,1582664098885677099,,42.3392501367,-71.0845802417,-3.1,328276.46338,4689548.38529,19,T,5
1582664099093184340,16,1582664099092766046,,42.3392501383,-71.0845803283,-3.118,328276.456245,4689548.38565,19,T,5
1582664099295472525,17,1582664099294979095,,42.3392500583,-71.0845803567,-3.104,328276.453693,4689548.37682,19,T,5
1582664099492652990,18,1582664099492196083,,42.33925005,-71.0845804,-3.093,328276.450101,4689548.37598,19,T,5
1582664099690086082,19,1582664099688535928,,42.3392500567,-71.0845805183,-3.082,328276.44037,4689548.37696,19,T,5
1582664099893860138,20,1582664099893471956,,42.3392500083,-71.0845805767,-3.066,328276.435433,4689548.37171,19,T,5
1582664100086665635,21,1582664100086188077,,42.33924992,-71.0845805733,-3.058,328276.435467,4689548.3619,19,T,5
1582664100285767460,22,1582664100285017013,,42.3392498867,-71.0845806133,-3.04,328276.432081,4689548.35828,19,T,5
1582664100489965684,23,1582664100489520072,,42.33924988,-71.0845806717,-3.023,328276.427258,4689548.35765,19,T,5
