%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.Longtitude,field.Altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter,field.FixQuality
1582661990886903951,1,1582661990886312961,,42.3374061867,-71.0871539683,14.571,328059.410296,4689348.82982,19,T,5
1582661991080438791,2,1582661991080035924,,42.3374067033,-71.0871528583,14.506,328059.50315,4689348.88495,19,T,5
1582661991282947016,3,1582661991282529115,,42.3374073733,-71.0871521017,14.382,328059.567313,4689348.95782,19,T,5
1582661991479049979,4,1582661991478634119,,42.3374055233,-71.0871540617,14.691,328059.400799,4689348.75635,19,T,5
1582661991787954938,5,1582661991787523984,,42.337406575,-71.0871530933,14.466,328059.48344,4689348.87117,19,T,5
1582661991881123240,6,1582661991880707979,,42.3374068133,-71.0871528617,14.431,328059.503175,4689348.89717,19,T,5
1582661992085772652,7,1582661992085324048,,42.3374069267,-71.087152735,14.438,328059.51392,4689348.9095,19,T,5
1582661992281632715,8,1582661992281254053,,42.3374072883,-71.0871522667,14.369,328059.553488,4689348.94871,19,T,5
1582661992591050628,9,1582661992590630054,,42.337406655,-71.087153035,14.523,328059.488464,4689348.87994,19,T,5
1582661992681889922,10,1582661992681509971,,42.3374066633,-71.087153095,14.516,328059.483544,4689348.88099,19,T,5
1582661992985485711,11,1582661992985088109,,42.3374069633,-71.0871528233,14.471,328059.506742,4689348.91375,19,T,5
1582661993104234781,12,1582661993103815078,,42.3374068217,-71.08715125,14.518,328059.635973,4689348.89484,19,T,4
1582661993281490194,13,1582661993281073093,,42.3374082917,-71.0871517433,14.286,328059.599337,4689349.05907,19,T,5
1582661993487308932,14,1582661993486763954,,42.3374072367,-71.087151945,14.457,328059.579848,4689348.94232,19,T,5
1582661993679976964,15,1582661993679538011,,42.3374072767,-71.0871517083,14.45,328059.599454,4689348.94629,19,T,5
1582661993884962434,16,1582661993884535074,,42.337407345,-71.0871514567,14.444,328059.620374,4689348.95337,19,T,5
1582661994092538970,17,1582661994091135978,,42.337407465,-71.0871509317,14.443,328059.663952,4689348.96563,19,T,5
1582661994285968888,18,1582661994285510063,,42.33740728,-71.0871513217,14.486,328059.631318,4689348.94588,19,T,5
1582661994479262711,19,1582661994478456020,,42.3374075183,-71.08715099,14.444,328059.659292,4689348.97167,19,T,5
1582661994683535511,20,1582661994683067083,,42.3374077317,-71.08715062,14.412,328059.690355,4689348.99461,19,T,5
1582661994876052018,21,1582661994875467061,,42.337407765,-71.08715044,14.417,328059.705275,4689348.99795,19,T,5
1582661995077865651,22,1582661995077438116,,42.337408065,-71.0871502867,14.39,328059.718725,4689349.03095,19,T,5
1582661995280680694,23,1582661995280246019,,42.3374080883,-71.0871501917,14.4,328059.726615,4689349.03335,19,T,5
1582661995483198371,24,1582661995482753992,,42.337408255,-71.087150005,14.379,328059.742448,4689349.05148,19,T,5
1582661995675225610,25,1582661995674549102,,42.3374082917,-71.0871498417,14.385,328059.756004,4689349.05522,19,T,5
1582661995878446614,26,1582661995878062963,,42.3374083333,-71.0871498483,14.393,328059.755568,4689349.05986,19,T,5
1582661996080329166,27,1582661996079804897,,42.3374081183,-71.08715,14.453,328059.742487,4689349.03629,19,T,5
1582661996282706982,28,1582661996282279014,,42.3374084583,-71.0871493833,14.408,328059.794217,4689349.0728,19,T,5
1582661996485377748,29,1582661996484977960,,42.337408665,-71.087148945,14.374,328059.830892,4689349.09486,19,T,5
1582661996675477772,30,1582661996674952983,,42.337408695,-71.0871487917,14.4,328059.843606,4689349.09788,19,T,5
1582661996881178519,31,1582661996880810022,,42.3374091033,-71.0871481567,14.35,328059.897033,4689349.14194,19,T,5
1582661997082624509,32,1582661997082264900,,42.3374096433,-71.0871472733,14.269,328059.971277,4689349.20012,19,T,5
1582661997289611654,33,1582661997289203882,,42.337409715,-71.0871470433,14.276,328059.990421,4689349.20761,19,T,5
1582661997484397812,34,1582661997483927965,,42.3374099417,-71.0871465767,14.253,328060.029484,4689349.23184,19,T,5
1582661997687999161,35,1582661997687576055,,42.3374101733,-71.0871462067,14.218,328060.060598,4689349.25682,19,T,5
1582661997884591810,36,1582661997884205102,,42.3374103817,-71.0871458367,14.195,328060.091647,4689349.2792,19,T,5
1582661998088461496,37,1582661998088080883,,42.33741062,-71.08714568,14.181,328060.105204,4689349.30535,19,T,5
1582661998283845286,38,1582661998283390045,,42.3374109083,-71.0871453567,14.162,328060.132627,4689349.33671,19,T,5
1582661998484813880,39,1582661998484421014,,42.3374109567,-71.087145215,14.168,328060.14443,4689349.34179,19,T,5
1582661998676902868,40,1582661998676476955,,42.3374111783,-71.0871449283,14.147,328060.168651,4689349.36583,19,T,5
1582661998878789674,41,1582661998878303050,,42.3374115517,-71.0871444483,14.108,328060.209212,4689349.40631,19,T,5
1582661999084133973,42,1582661999083497047,,42.337411645,-71.0871444683,14.103,328060.207819,4689349.41672,19,T,5
1582661999304272449,43,1582661999303862094,,42.33741394,-71.0871386333,13.53,328060.694784,4689349.65976,19,T,4
1582661999477506317,44,1582661999477061033,,42.3374116533,-71.087144445,14.132,328060.209764,4689349.4176,19,T,5
1582661999682470163,45,1582661999682050943,,42.3374117817,-71.0871443917,14.125,328060.214508,4689349.43174,19,T,5
1582661999879883463,46,1582661999879447937,,42.337411915,-71.0871442633,14.108,328060.225444,4689349.44628,19,T,5
